# frequency, hf_mean, hf_min, hf_max
0.14465E-04 0.37250E-24 0.96029E-26 0.85730E-24
0.14802E-04 0.37827E-24 0.97515E-26 0.87056E-24
0.15147E-04 0.38412E-24 0.99024E-26 0.88403E-24
0.15500E-04 0.39007E-24 0.10056E-25 0.89771E-24
0.15861E-04 0.39610E-24 0.10211E-25 0.91160E-24
0.16231E-04 0.40223E-24 0.10369E-25 0.92571E-24
0.16609E-04 0.40845E-24 0.10530E-25 0.94003E-24
0.16996E-04 0.41477E-24 0.10693E-25 0.95458E-24
0.17392E-04 0.42119E-24 0.10858E-25 0.96935E-24
0.17797E-04 0.42771E-24 0.11026E-25 0.98435E-24
0.18212E-04 0.43433E-24 0.11197E-25 0.99958E-24
0.18636E-04 0.44105E-24 0.11370E-25 0.10150E-23
0.19070E-04 0.44787E-24 0.11546E-25 0.10308E-23
0.19515E-04 0.45480E-24 0.11725E-25 0.10467E-23
0.19969E-04 0.46184E-24 0.11906E-25 0.10629E-23
0.20434E-04 0.46899E-24 0.12090E-25 0.10793E-23
0.20911E-04 0.47624E-24 0.12277E-25 0.10960E-23
0.21398E-04 0.48361E-24 0.12467E-25 0.11130E-23
0.21896E-04 0.49110E-24 0.12660E-25 0.11302E-23
0.22407E-04 0.49870E-24 0.12856E-25 0.11477E-23
0.22929E-04 0.50641E-24 0.13055E-25 0.11655E-23
0.23463E-04 0.51425E-24 0.13257E-25 0.11835E-23
0.24010E-04 0.52221E-24 0.13462E-25 0.12018E-23
0.24569E-04 0.53029E-24 0.13670E-25 0.12204E-23
0.25141E-04 0.53849E-24 0.13882E-25 0.12393E-23
0.25727E-04 0.54682E-24 0.14097E-25 0.12585E-23
0.26327E-04 0.55529E-24 0.14315E-25 0.12780E-23
0.26940E-04 0.56388E-24 0.14536E-25 0.12977E-23
0.27568E-04 0.57260E-24 0.14761E-25 0.13178E-23
0.28210E-04 0.58146E-24 0.14990E-25 0.13382E-23
0.28867E-04 0.59046E-24 0.15222E-25 0.13589E-23
0.29540E-04 0.59960E-24 0.15457E-25 0.13799E-23
0.30228E-04 0.60887E-24 0.15696E-25 0.14013E-23
0.30933E-04 0.61830E-24 0.15939E-25 0.14230E-23
0.31653E-04 0.62786E-24 0.16186E-25 0.14450E-23
0.32391E-04 0.63758E-24 0.16436E-25 0.14674E-23
0.33146E-04 0.64744E-24 0.16691E-25 0.14901E-23
0.33918E-04 0.65746E-24 0.16949E-25 0.15131E-23
0.34708E-04 0.66764E-24 0.17211E-25 0.15365E-23
0.35517E-04 0.67797E-24 0.17478E-25 0.15603E-23
0.36344E-04 0.68846E-24 0.17748E-25 0.15844E-23
0.37191E-04 0.69911E-24 0.18023E-25 0.16090E-23
0.38058E-04 0.70993E-24 0.18301E-25 0.16339E-23
0.38945E-04 0.72091E-24 0.18585E-25 0.16591E-23
0.39852E-04 0.73207E-24 0.18872E-25 0.16848E-23
0.40781E-04 0.74340E-24 0.19164E-25 0.17109E-23
0.41731E-04 0.75490E-24 0.19461E-25 0.17374E-23
0.42703E-04 0.76658E-24 0.19762E-25 0.17642E-23
0.43698E-04 0.77844E-24 0.20068E-25 0.17915E-23
0.44716E-04 0.79049E-24 0.20378E-25 0.18193E-23
0.45758E-04 0.80272E-24 0.20694E-25 0.18474E-23
0.46824E-04 0.81514E-24 0.21014E-25 0.18760E-23
0.47915E-04 0.82775E-24 0.21339E-25 0.19050E-23
0.49032E-04 0.84056E-24 0.21669E-25 0.19345E-23
0.50174E-04 0.85357E-24 0.22004E-25 0.19644E-23
0.51343E-04 0.86678E-24 0.22345E-25 0.19948E-23
0.52539E-04 0.88019E-24 0.22691E-25 0.20257E-23
0.53764E-04 0.89381E-24 0.23042E-25 0.20570E-23
0.55016E-04 0.90764E-24 0.23398E-25 0.20889E-23
0.56298E-04 0.92168E-24 0.23760E-25 0.21212E-23
0.57610E-04 0.93594E-24 0.24128E-25 0.21540E-23
0.58952E-04 0.95043E-24 0.24501E-25 0.21874E-23
0.60326E-04 0.96513E-24 0.24881E-25 0.22212E-23
0.61731E-04 0.98007E-24 0.25266E-25 0.22556E-23
0.63170E-04 0.99523E-24 0.25656E-25 0.22905E-23
0.64642E-04 0.10106E-23 0.26053E-25 0.23259E-23
0.66148E-04 0.10263E-23 0.26457E-25 0.23619E-23
0.67689E-04 0.10422E-23 0.26866E-25 0.23985E-23
0.69266E-04 0.10583E-23 0.27282E-25 0.24356E-23
0.70880E-04 0.10747E-23 0.27704E-25 0.24733E-23
0.72532E-04 0.10913E-23 0.28133E-25 0.25115E-23
0.74222E-04 0.11082E-23 0.28568E-25 0.25504E-23
0.75951E-04 0.11253E-23 0.29010E-25 0.25898E-23
0.77721E-04 0.11427E-23 0.29459E-25 0.26299E-23
0.79532E-04 0.11604E-23 0.29915E-25 0.26706E-23
0.81385E-04 0.11784E-23 0.30377E-25 0.27119E-23
0.83281E-04 0.11966E-23 0.30848E-25 0.27539E-23
0.85221E-04 0.12151E-23 0.31325E-25 0.27965E-23
0.87207E-04 0.12339E-23 0.31810E-25 0.28398E-23
0.89239E-04 0.12530E-23 0.32302E-25 0.28837E-23
0.91318E-04 0.12724E-23 0.32802E-25 0.29284E-23
0.93446E-04 0.12921E-23 0.33309E-25 0.29737E-23
0.95623E-04 0.13121E-23 0.33825E-25 0.30197E-23
0.97851E-04 0.13324E-23 0.34348E-25 0.30664E-23
0.10013E-03 0.13530E-23 0.34879E-25 0.31139E-23
0.10246E-03 0.13739E-23 0.35419E-25 0.31620E-23
0.10485E-03 0.13952E-23 0.35967E-25 0.32110E-23
0.10729E-03 0.14168E-23 0.36524E-25 0.32607E-23
0.10979E-03 0.14387E-23 0.37089E-25 0.33111E-23
0.11235E-03 0.14610E-23 0.37663E-25 0.33623E-23
0.11497E-03 0.14836E-23 0.38246E-25 0.34144E-23
0.11765E-03 0.15065E-23 0.38837E-25 0.34672E-23
0.12039E-03 0.15298E-23 0.39438E-25 0.35209E-23
0.12320E-03 0.15535E-23 0.40049E-25 0.35753E-23
0.12607E-03 0.15776E-23 0.40668E-25 0.36307E-23
0.12900E-03 0.16020E-23 0.41298E-25 0.36868E-23
0.13201E-03 0.16268E-23 0.41937E-25 0.37439E-23
0.13509E-03 0.16519E-23 0.42586E-25 0.38018E-23
0.13823E-03 0.16775E-23 0.43244E-25 0.38606E-23
0.14145E-03 0.17034E-23 0.43914E-25 0.39204E-23
0.14475E-03 0.17298E-23 0.44593E-25 0.39810E-23
0.14812E-03 0.17566E-23 0.45283E-25 0.40426E-23
0.15157E-03 0.17837E-23 0.45984E-25 0.41052E-23
0.15510E-03 0.18113E-23 0.46695E-25 0.41687E-23
0.15872E-03 0.18394E-23 0.47418E-25 0.42332E-23
0.16242E-03 0.18678E-23 0.48152E-25 0.42987E-23
0.16620E-03 0.18967E-23 0.48897E-25 0.43652E-23
0.17007E-03 0.19261E-23 0.49653E-25 0.44328E-23
0.17404E-03 0.19559E-23 0.50422E-25 0.45014E-23
0.17809E-03 0.19862E-23 0.51202E-25 0.45710E-23
0.18224E-03 0.20169E-23 0.51994E-25 0.46418E-23
0.18649E-03 0.20481E-23 0.52799E-25 0.47136E-23
0.19083E-03 0.20798E-23 0.53616E-25 0.47865E-23
0.19528E-03 0.21120E-23 0.54445E-25 0.48606E-23
0.19983E-03 0.21447E-23 0.55288E-25 0.49358E-23
0.20448E-03 0.21778E-23 0.56143E-25 0.50122E-23
0.20925E-03 0.22115E-23 0.57012E-25 0.50897E-23
0.21412E-03 0.22458E-23 0.57894E-25 0.51685E-23
0.21911E-03 0.22805E-23 0.58790E-25 0.52485E-23
0.22422E-03 0.23158E-23 0.59700E-25 0.53297E-23
0.22944E-03 0.23516E-23 0.60624E-25 0.54121E-23
0.23479E-03 0.23880E-23 0.61562E-25 0.54959E-23
0.24026E-03 0.24250E-23 0.62514E-25 0.55809E-23
0.24586E-03 0.24625E-23 0.63481E-25 0.56673E-23
0.25159E-03 0.25006E-23 0.64464E-25 0.57550E-23
0.25745E-03 0.25393E-23 0.65461E-25 0.58440E-23
0.26345E-03 0.25786E-23 0.66474E-25 0.59345E-23
0.26959E-03 0.26185E-23 0.67503E-25 0.60263E-23
0.27587E-03 0.26590E-23 0.68547E-25 0.61195E-23
0.28229E-03 0.27001E-23 0.69608E-25 0.62142E-23
0.28887E-03 0.27419E-23 0.70685E-25 0.63104E-23
0.29560E-03 0.27844E-23 0.71779E-25 0.64080E-23
0.30249E-03 0.28274E-23 0.72889E-25 0.65072E-23
0.30954E-03 0.28712E-23 0.74017E-25 0.66079E-23
0.31675E-03 0.29156E-23 0.75163E-25 0.67101E-23
0.32413E-03 0.29607E-23 0.76326E-25 0.68140E-23
0.33168E-03 0.30065E-23 0.77507E-25 0.69194E-23
0.33941E-03 0.30531E-23 0.78706E-25 0.70265E-23
0.34732E-03 0.31003E-23 0.79924E-25 0.71352E-23
0.35541E-03 0.31483E-23 0.81161E-25 0.72456E-23
0.36369E-03 0.31970E-23 0.82416E-25 0.73577E-23
0.37217E-03 0.32465E-23 0.83692E-25 0.74716E-23
0.38084E-03 0.32967E-23 0.84987E-25 0.75872E-23
0.38971E-03 0.33477E-23 0.86302E-25 0.77046E-23
0.39879E-03 0.33995E-23 0.87637E-25 0.78238E-23
0.40808E-03 0.34521E-23 0.88993E-25 0.79449E-23
0.41759E-03 0.35055E-23 0.90370E-25 0.80678E-23
0.42732E-03 0.35598E-23 0.91769E-25 0.81926E-23
0.43728E-03 0.36149E-23 0.93189E-25 0.83194E-23
0.44747E-03 0.36708E-23 0.94631E-25 0.84481E-23
0.45789E-03 0.37276E-23 0.96095E-25 0.85789E-23
0.46856E-03 0.37853E-23 0.97582E-25 0.87116E-23
0.47948E-03 0.38438E-23 0.99092E-25 0.88464E-23
0.49065E-03 0.39033E-23 0.10063E-24 0.89833E-23
0.50208E-03 0.39637E-23 0.10218E-24 0.91223E-23
0.51378E-03 0.40251E-23 0.10376E-24 0.92634E-23
0.52575E-03 0.40873E-23 0.10537E-24 0.94068E-23
0.53800E-03 0.41506E-23 0.10700E-24 0.95523E-23
0.55054E-03 0.42148E-23 0.10866E-24 0.97001E-23
0.56337E-03 0.42800E-23 0.11034E-24 0.98502E-23
0.57649E-03 0.43463E-23 0.11204E-24 0.10003E-22
0.58993E-03 0.44135E-23 0.11378E-24 0.10157E-22
0.60367E-03 0.44818E-23 0.11554E-24 0.10315E-22
0.61774E-03 0.45511E-23 0.11733E-24 0.10474E-22
0.63213E-03 0.46216E-23 0.11914E-24 0.10636E-22
0.64686E-03 0.46931E-23 0.12098E-24 0.10801E-22
0.66193E-03 0.47657E-23 0.12286E-24 0.10968E-22
0.67735E-03 0.48394E-23 0.12476E-24 0.11138E-22
0.69314E-03 0.49143E-23 0.12669E-24 0.11310E-22
0.70929E-03 0.49904E-23 0.12865E-24 0.11485E-22
0.72581E-03 0.50676E-23 0.13064E-24 0.11663E-22
0.74272E-03 0.51460E-23 0.13266E-24 0.11843E-22
0.76003E-03 0.52256E-23 0.13471E-24 0.12027E-22
0.77774E-03 0.53065E-23 0.13680E-24 0.12213E-22
0.79586E-03 0.53886E-23 0.13891E-24 0.12402E-22
0.81440E-03 0.54720E-23 0.14106E-24 0.12593E-22
0.83338E-03 0.55567E-23 0.14325E-24 0.12788E-22
0.85280E-03 0.56426E-23 0.14546E-24 0.12986E-22
0.87267E-03 0.57299E-23 0.14771E-24 0.13187E-22
0.89300E-03 0.58186E-23 0.15000E-24 0.13391E-22
0.91381E-03 0.59086E-23 0.15232E-24 0.13598E-22
0.93510E-03 0.60001E-23 0.15468E-24 0.13809E-22
0.95689E-03 0.60929E-23 0.15707E-24 0.14023E-22
0.97918E-03 0.61872E-23 0.15950E-24 0.14239E-22
0.10020E-02 0.62829E-23 0.16197E-24 0.14460E-22
0.10253E-02 0.63802E-23 0.16448E-24 0.14684E-22
0.10492E-02 0.64789E-23 0.16702E-24 0.14911E-22
0.10737E-02 0.65791E-23 0.16961E-24 0.15142E-22
0.10987E-02 0.66809E-23 0.17223E-24 0.15376E-22
0.11243E-02 0.67843E-23 0.17490E-24 0.15614E-22
0.11505E-02 0.68893E-23 0.17760E-24 0.15855E-22
0.11773E-02 0.69959E-23 0.18035E-24 0.16101E-22
0.12047E-02 0.71041E-23 0.18314E-24 0.16350E-22
0.12328E-02 0.72141E-23 0.18597E-24 0.16603E-22
0.12615E-02 0.73257E-23 0.18885E-24 0.16860E-22
0.12909E-02 0.74391E-23 0.19177E-24 0.17121E-22
0.13210E-02 0.75542E-23 0.19474E-24 0.17385E-22
0.13518E-02 0.76711E-23 0.19775E-24 0.17655E-22
0.13833E-02 0.77898E-23 0.20081E-24 0.17928E-22
0.14155E-02 0.79103E-23 0.20392E-24 0.18205E-22
0.14485E-02 0.80327E-23 0.20708E-24 0.18487E-22
0.14822E-02 0.81570E-23 0.21028E-24 0.18773E-22
0.15168E-02 0.82832E-23 0.21354E-24 0.19063E-22
0.15521E-02 0.84114E-23 0.21684E-24 0.19358E-22
0.15883E-02 0.85415E-23 0.22020E-24 0.19658E-22
0.16253E-02 0.86737E-23 0.22360E-24 0.19962E-22
0.16632E-02 0.88079E-23 0.22706E-24 0.20271E-22
0.17019E-02 0.89442E-23 0.23058E-24 0.20585E-22
0.17416E-02 0.90826E-23 0.23414E-24 0.20903E-22
0.17821E-02 0.92231E-23 0.23777E-24 0.21227E-22
0.18237E-02 0.93659E-23 0.24145E-24 0.21555E-22
0.18662E-02 0.95108E-23 0.24518E-24 0.21889E-22
0.19096E-02 0.96579E-23 0.24898E-24 0.22227E-22
0.19541E-02 0.98074E-23 0.25283E-24 0.22571E-22
0.19997E-02 0.99591E-23 0.25674E-24 0.22920E-22
0.20462E-02 0.10113E-22 0.26071E-24 0.23275E-22
0.20939E-02 0.10270E-22 0.26475E-24 0.23635E-22
